cust_id,CAL_DT,TPV,cnt
1412550000000000000,6/20/2015,5.95,1
2289950000000000000,3/26/2014,113.00,1
2241770000000000000,9/11/2014,45.00,1
1942430000000000000,12/11/2014,3.99,1
1715580000000000000,1/5/2014,8.00,1
2171220000000000000,1/19/2015,25.44,1
1820630000000000000,7/6/2013,29.98,1
2280130000000000000,3/12/2014,130.04,3
1276310000000000000,7/14/2013,56.94,1
1360640000000000000,7/7/2013,1293.97,1
1535430000000000000,7/3/2013,34.02,1
1334100000000000000,9/1/2014,30.99,1
2292000000000000000,10/17/2014,27.12,1
1270520000000000000,1/19/2015,41.99,1
1719350000000000000,11/10/2013,0.00,0
1801240000000000000,12/11/2013,33.90,1
2098600000000000000,5/14/2015,21.18,1
1863390000000000000,9/17/2013,2.48,1
1533210000000000000,9/3/2013,271.43,2
2287590000000000000,11/25/2014,23.60,1
1849980000000000000,9/12/2014,240.00,1
1836630000000000000,7/20/2013,1300.00,1
1400520000000000000,6/7/2015,5.99,1
1874300000000000000,5/21/2014,9.14,1
1387720000000000000,10/25/2013,38.32,1
1819740000000000000,12/13/2013,14.99,1
2104680000000000000,7/21/2015,97.08,2
1176270000000000000,10/24/2014,396.14,4
1629850000000000000,8/10/2013,27.50,1
2205610000000000000,5/3/2015,28.00,1
2297990000000000000,9/23/2014,34.11,2
1648870000000000000,2/25/2014,30.00,1
1298590000000000000,9/3/2014,17.43,2
1357100000000000000,3/21/2015,0.00,0
1342570000000000000,9/6/2014,6.15,1
2140620000000000000,4/1/2015,4.99,1
1267950000000000000,2/26/2014,34.84,2
1297730000000000000,10/31/2013,41.74,2
1885240000000000000,10/29/2014,99.00,1
1272020000000000000,12/16/2013,370.57,1
2105300000000000000,10/8/2013,69.95,1
1560260000000000000,9/5/2013,3.02,1
1966400000000000000,8/25/2014,99.99,1
1713360000000000000,7/29/2013,15.99,1
1718360000000000000,10/24/2014,45.91,1
1301440000000000000,9/8/2013,15.95,1
1640470000000000000,2/28/2015,13.99,2
1830110000000000000,12/2/2013,76.29,1
1376840000000000000,8/26/2013,20.50,1
1386000000000000000,9/20/2014,19.00,1
1382050000000000000,8/7/2013,0.00,0
2164380000000000000,8/11/2013,21.87,1
1572930000000000000,10/21/2013,178.87,2
1217130000000000000,7/19/2013,35.90,1
1970130000000000000,7/24/2014,25.02,2
1427020000000000000,11/27/2013,10.00,1
1684940000000000000,10/18/2013,50.55,1
2222580000000000000,4/2/2015,20.00,2
2101850000000000000,5/10/2015,119.98,2
1899260000000000000,9/17/2014,25.00,1
1176270000000000000,7/19/2014,21.39,1
1487750000000000000,3/7/2015,34.29,1
1697520000000000000,11/12/2013,0.00,0
1337480000000000000,11/2/2013,1039.57,3
1171370000000000000,8/31/2014,54.00,2
1307040000000000000,6/30/2014,5.85,1
2279090000000000000,7/29/2014,3.04,1
2005560000000000000,5/8/2015,25.00,1
1796060000000000000,11/27/2013,219.10,1
2115850000000000000,11/7/2014,196.17,1
1484200000000000000,12/15/2013,211.84,3
1970130000000000000,6/14/2014,-2.25,0
2177830000000000000,7/23/2015,92.27,1
1298590000000000000,7/1/2013,8.66,1
1415310000000000000,10/9/2013,6.85,1
1945290000000000000,6/1/2015,205.00,1
2287590000000000000,12/22/2013,14.95,1
1495930000000000000,5/14/2015,119.87,1
1970130000000000000,3/31/2015,36.98,3
2191170000000000000,10/23/2014,250.00,1
2010990000000000000,9/26/2014,75.18,2
1285500000000000000,7/8/2015,714.60,2
1600030000000000000,2/7/2015,11.00,1
1283620000000000000,5/9/2014,33.95,1
2227810000000000000,2/18/2014,14.99,1
1923870000000000000,7/5/2013,87.46,1
1505260000000000000,7/29/2015,65.19,3
2191170000000000000,3/25/2015,120.00,1
1531550000000000000,8/12/2014,17.26,1
2036020000000000000,11/24/2013,91.32,1
1439840000000000000,7/27/2015,32.00,1
1385700000000000000,4/13/2015,37.98,1
2098600000000000000,3/8/2015,25.43,3
2060400000000000000,7/27/2013,0.00,0
2186240000000000000,5/1/2014,44.59,2
1517870000000000000,5/29/2015,25.00,1
1689970000000000000,11/12/2013,6.53,1
1895300000000000000,11/20/2014,21.40,1
1313330000000000000,10/24/2013,13.90,1
1229570000000000000,8/2/2013,9.99,1
1399040000000000000,6/29/2015,16.99,1
2193400000000000000,7/27/2013,31.78,1
2130720000000000000,12/31/2014,92.99,1
1200980000000000000,7/28/2014,7.99,1
1701800000000000000,8/18/2013,49.62,1
1572930000000000000,8/12/2013,64.79,1
2136830000000000000,1/21/2015,34.00,1
1484200000000000000,7/26/2014,8.50,1
1224490000000000000,8/2/2014,5.99,1
1929240000000000000,4/10/2015,12.78,2
1580880000000000000,7/6/2013,195.29,1
1852010000000000000,3/11/2014,7.99,1
2110420000000000000,10/18/2014,91.00,1
2234990000000000000,11/25/2013,178.31,3
1926330000000000000,12/21/2014,399.60,1
1764150000000000000,7/22/2013,15.00,1
1970130000000000000,10/30/2013,25.74,2
1315610000000000000,3/13/2014,150.00,1
1848800000000000000,8/1/2013,54.99,1
1648470000000000000,11/20/2014,500.00,1
2254420000000000000,10/15/2014,31.16,2
1243890000000000000,11/6/2013,19.95,1
1389560000000000000,4/6/2015,36.52,3
2232700000000000000,7/9/2013,600.00,2
2186070000000000000,7/29/2013,179.02,4
1453620000000000000,1/14/2014,37.62,1
2040490000000000000,1/19/2014,10.27,2
1527840000000000000,9/26/2013,34.78,1
1315610000000000000,10/10/2014,60.00,1
1270060000000000000,8/12/2014,9.99,1
1254300000000000000,10/3/2013,3.27,1
2239380000000000000,9/8/2013,1.92,1
1465300000000000000,8/21/2013,-1.50,0
1843360000000000000,5/28/2015,80.58,1
1754940000000000000,7/7/2015,56.99,1
1454680000000000000,4/22/2015,-79.03,0
1639240000000000000,4/18/2015,346.89,1
2215760000000000000,9/26/2013,7.99,1
1814670000000000000,9/23/2014,13.38,1
1267950000000000000,11/3/2014,2.29,1
2136170000000000000,1/17/2014,9.70,2
1360590000000000000,7/26/2013,99.00,1
1790830000000000000,10/11/2013,99.29,2
1217380000000000000,2/22/2015,25.00,1
1707500000000000000,7/9/2013,250.00,1
1838270000000000000,10/12/2013,46.95,1
1779530000000000000,7/31/2013,58.92,1
1504350000000000000,9/6/2014,20.00,1
1234970000000000000,2/7/2015,26.72,2
2106430000000000000,12/15/2013,76.01,2
1399040000000000000,9/9/2014,49.99,1
2223040000000000000,9/25/2014,51.00,1
1365640000000000000,8/2/2015,8.00,2
1285030000000000000,7/6/2013,6.68,1
2056240000000000000,7/29/2013,1338.00,1
1168550000000000000,4/14/2014,50.82,1
2257670000000000000,7/25/2015,180.19,1
1720810000000000000,9/21/2014,21.17,3
2135250000000000000,2/25/2015,25.00,1
1176270000000000000,10/27/2014,78.57,2
2171220000000000000,1/22/2015,13.86,1
2031550000000000000,7/22/2013,16.34,1
1994360000000000000,8/6/2013,29.00,1
2136170000000000000,4/6/2015,21.97,3
2111190000000000000,8/4/2015,0.01,1
1906000000000000000,4/14/2015,56.43,1
1527840000000000000,9/23/2013,-53.25,0
1290010000000000000,1/21/2014,144.93,1
2122750000000000000,8/2/2014,8.81,1
1564140000000000000,3/8/2014,16.02,1
1763560000000000000,11/15/2013,85.00,1
2223040000000000000,5/4/2014,36.00,1
2140620000000000000,8/19/2013,9.83,1
1513030000000000000,10/9/2014,9.99,1
1725970000000000000,11/7/2014,39.75,1
1349760000000000000,7/19/2013,81.80,4
1766880000000000000,8/23/2013,74.78,1
1951040000000000000,7/15/2014,0.00,0
1874300000000000000,2/6/2015,8.97,1
1933780000000000000,12/10/2014,96.88,1
2222120000000000000,4/21/2015,81.47,1
1754070000000000000,2/17/2014,182.75,1
2115760000000000000,2/16/2014,22.28,1
1349760000000000000,11/8/2013,118.27,2
1163900000000000000,10/4/2013,-14.00,-1
1877640000000000000,7/30/2013,100.00,1
1162170000000000000,7/19/2015,10.98,2
1238940000000000000,5/10/2014,412.00,1
1573500000000000000,6/5/2015,11.10,1
1669460000000000000,8/6/2015,2.97,3
2076510000000000000,12/28/2014,292.99,1
2099240000000000000,9/27/2013,164.49,2
1790830000000000000,1/2/2015,967.34,3
2157440000000000000,11/20/2014,5.00,1
1630940000000000000,4/24/2015,24.90,1
2266740000000000000,7/24/2015,45.00,1
1947650000000000000,7/11/2013,99.50,1
1197180000000000000,11/29/2014,58.32,1
1271660000000000000,4/26/2015,21.45,1
1169880000000000000,12/14/2013,16.20,1
1754070000000000000,7/31/2014,13.43,1
1758320000000000000,10/21/2013,140.48,1
1484200000000000000,12/11/2014,25.83,1
2205610000000000000,5/7/2014,210.85,1
1389250000000000000,8/31/2013,0.00,0
1577620000000000000,1/14/2015,109.00,1
2191170000000000000,4/3/2015,50.00,1
1981310000000000000,7/31/2014,3.25,1
1589960000000000000,5/16/2015,10.00,1
2186240000000000000,12/2/2013,31.69,1
1512970000000000000,7/16/2013,25.00,1
2158660000000000000,4/9/2015,49.68,2
1656000000000000000,6/21/2014,0.00,0
2069810000000000000,7/19/2015,150.00,1
2272650000000000000,1/20/2015,37.88,1
2226790000000000000,11/18/2013,15.00,1
1652650000000000000,4/27/2015,12.96,1
1698260000000000000,5/11/2015,11.82,1
1168550000000000000,10/12/2014,171.99,1
1646210000000000000,7/6/2015,50.80,1
1264290000000000000,2/18/2015,10.80,1
1162170000000000000,2/28/2015,89.00,1
1176270000000000000,3/26/2015,74.93,2
1908880000000000000,5/28/2015,49.99,1
1832920000000000000,8/27/2013,27.78,2
1699310000000000000,2/2/2014,41.25,1
1338330000000000000,8/1/2014,50.25,1
1536670000000000000,9/9/2014,125.00,1
1450630000000000000,8/10/2013,439.98,2
2259120000000000000,11/9/2014,19.99,1
2181560000000000000,7/16/2013,0.00,0
1773580000000000000,11/23/2014,9.85,1
2166290000000000000,5/24/2014,76.39,2
1561070000000000000,3/10/2015,5.99,1
1690820000000000000,9/19/2014,176.20,2
2219660000000000000,3/14/2015,7.54,1
1527130000000000000,8/19/2014,49.95,1
2206610000000000000,1/16/2014,17.96,2
1744770000000000000,8/1/2013,8.98,1
1640470000000000000,7/23/2014,9.99,1
2272140000000000000,1/11/2015,57.86,2
1852880000000000000,3/11/2015,7.65,1
2082840000000000000,7/20/2015,125.00,1
1189500000000000000,11/17/2014,43.52,4
1301830000000000000,10/22/2013,129.00,1
1838270000000000000,3/11/2014,-77.89,-1
1154190000000000000,9/24/2014,14.81,2
2186240000000000000,1/3/2014,68.01,3
1282230000000000000,1/5/2014,85.00,1
2299910000000000000,7/2/2013,824.00,1
1406490000000000000,10/27/2013,6.59,1
1718360000000000000,9/15/2013,62.00,1
1163900000000000000,2/3/2015,20.00,1
2294630000000000000,8/10/2013,12.42,1
1315610000000000000,7/2/2014,62.10,1
1987210000000000000,10/28/2013,2.50,1
2177820000000000000,3/7/2015,3.99,1
1608930000000000000,6/13/2014,30.00,2
1981280000000000000,2/20/2015,11.00,1
1725970000000000000,2/23/2015,7.99,1
2136170000000000000,10/30/2013,2.99,2
1318150000000000000,7/24/2013,81.82,1
1483350000000000000,7/25/2013,-10.08,-9
2104680000000000000,2/1/2015,142.50,1
2110420000000000000,12/4/2014,105.40,5
1342460000000000000,7/17/2013,87.86,1
1737030000000000000,11/29/2014,6.99,1
1564540000000000000,10/12/2013,8.48,2
2176690000000000000,9/12/2013,29.25,1
1302720000000000000,8/5/2013,4.24,1
2295070000000000000,7/17/2015,92.18,3
1218390000000000000,6/5/2015,25.39,1
1608380000000000000,11/8/2014,120.00,1
1533260000000000000,10/20/2014,25.00,1
1904730000000000000,7/18/2013,40.93,2
1728970000000000000,4/12/2015,63.38,3
1261180000000000000,2/23/2014,21.24,2
1619180000000000000,11/28/2013,0.00,0
2162950000000000000,7/5/2013,0.00,0
2166290000000000000,2/15/2015,7.99,1
1481670000000000000,4/9/2015,5.98,2
2281310000000000000,6/26/2014,500.00,1
2136170000000000000,12/10/2013,5.00,1
2212540000000000000,5/20/2014,74.64,1
2280130000000000000,7/30/2014,59.99,1
1771400000000000000,9/2/2014,4.99,1
1907720000000000000,7/30/2013,31.99,2
2223040000000000000,8/19/2013,302.40,2
1391350000000000000,1/3/2015,141.32,1
1308780000000000000,7/27/2013,39.34,1
1906000000000000000,12/14/2014,47.93,1
2136590000000000000,8/5/2014,5.99,1
2226430000000000000,5/24/2015,26.30,1
1796370000000000000,6/9/2015,1.99,1
1233800000000000000,8/10/2014,11.42,6
1865670000000000000,1/26/2014,10.00,1
2302210000000000000,5/29/2014,23.71,1
1524850000000000000,7/14/2013,762.20,1
1483140000000000000,4/5/2014,451.93,2
1527130000000000000,10/28/2014,5.50,1
1389560000000000000,7/20/2015,47.13,3
1830110000000000000,5/24/2014,17.54,1
1276920000000000000,1/9/2015,7.99,1
1890430000000000000,3/5/2014,-639.78,0
1400520000000000000,4/21/2015,65.39,1
1554940000000000000,1/18/2015,1325.93,3
1406490000000000000,10/4/2013,1.99,1
2157510000000000000,8/20/2013,0.00,0
2303890000000000000,12/12/2014,5.05,1
2033150000000000000,7/27/2013,15.00,1
1875160000000000000,11/7/2013,1000.00,1
1487750000000000000,7/30/2013,6.92,2
1290010000000000000,6/23/2014,110.97,1
2162950000000000000,12/25/2013,11.88,1
2010760000000000000,10/7/2014,12.98,1
1768140000000000000,3/15/2014,7.99,1
2233680000000000000,10/9/2013,2.15,0
1339980000000000000,4/1/2014,0.00,0
1970130000000000000,3/2/2015,20.83,1
1691000000000000000,1/10/2014,17.57,2
2213690000000000000,3/2/2014,8.71,1
1824340000000000000,9/23/2014,27.99,1
1746350000000000000,1/16/2014,193.44,5
1573940000000000000,7/19/2013,32.39,1
1824340000000000000,4/9/2014,40.98,1
1625540000000000000,7/28/2015,105.72,1
1936190000000000000,7/28/2013,5.00,1
2171480000000000000,11/24/2014,0.00,0
1153270000000000000,4/25/2014,22.62,2
1330850000000000000,12/9/2013,788.40,1
1244410000000000000,7/3/2013,70.00,1
2060150000000000000,10/9/2014,27.49,1
1693020000000000000,7/28/2013,9.99,1
1640470000000000000,5/21/2015,49.50,1
2239580000000000000,8/7/2013,6.00,1
1702820000000000000,5/21/2014,35.00,1
