cust,date,tpv,cnt
2239229495630568806,18-06-2015,8.0,1
1977536058569756731,04-05-2015,100.0,1
1253434755881681927,25-10-2014,0.0,0
1656181320183923554,20-05-2014,60.0,1
1343940053136410740,30-08-2015,159.5,1
2030774640124151716,28-09-2013,0.0,0
1569748974119992784,02-06-2014,5.7,1
1382241133807009613,08-01-2014,18.8,1
1228783414272844646,22-05-2014,23.0,1
1553951508414008372,07-07-2015,46.4,2
1682656369663051370,11-07-2013,25.0,1
1754247995051557656,10-11-2013,232.9,2
2154113625401554721,18-07-2015,34.5,1
2084782765415199507,13-07-2013,33.0,1
1502052567330726921,03-06-2015,13.8,2
1713806340629871613,06-12-2014,37.3,1
1891393619800293100,14-05-2014,0.6,1
1911704486806911160,22-08-2013,0.0,0
1880962905046347722,05-04-2015,21.0,1
2201175242835297333,16-07-2013,51.6,2
1252763554007551699,08-11-2014,8.0,1
1900293864379410699,26-03-2015,8.0,1
1890529687161754216,27-04-2015,149.8,1
1681436177000244598,23-09-2014,51.0,1
1709046873568863795,22-11-2013,2300.4,3
1392088081673741568,12-07-2013,32.9,3
2206434618905526693,29-01-2015,125.0,1
1521941965474134302,16-07-2013,450.0,1
2198048406472012766,17-05-2015,10.4,1
1656181320183923554,25-09-2014,7.4,1
2283479228405415092,26-08-2013,51.2,1
2153995477176693116,26-07-2013,53.0,1
1800492037041299568,09-02-2014,25.0,1
2144668615377409659,19-08-2014,145.5,1
1646582995692087635,31-07-2013,10.0,1
2128417348443969967,10-10-2014,17.9,1
2212748627505082247,15-02-2014,50.4,1
1996506746826563312,15-12-2014,122.5,6
1254274862786788442,29-07-2013,36.0,1
2059560698390935480,04-08-2014,10.0,1
1680142608682722804,17-10-2013,7.0,1
1267156213540551847,14-11-2014,252.6,14
1782797360856861517,14-04-2015,8.8,1
1968773192621037033,07-07-2013,48.2,1
1674201346782794303,03-10-2013,11.1,1
1406475603056739882,26-01-2014,41.4,1
2067645730959676494,25-08-2014,35.3,1
1917348277243270068,21-04-2014,15.0,1
1970175002178519092,06-02-2015,101.4,1
1975584729538778211,28-08-2013,43.0,1
1591965169218509387,10-05-2015,75.0,1
2172890038441143636,10-12-2013,26.5,1
1974846085508151380,20-07-2013,120.0,1
1244281662992516013,30-07-2013,19.3,1
1350932739623993148,07-12-2013,664.9,1
2019241150155935467,17-07-2013,0.0,0
1438443527517051587,05-11-2013,13.0,1
1730521281471550424,19-09-2014,30.0,1
2282212342156300223,17-05-2015,17.7,1
1627144650756411920,02-09-2014,40.0,1
1281356876149525656,17-10-2014,12.9,2
1783016927698993024,24-07-2013,3.0,1
1378148604330392024,30-05-2015,306.4,2
1655235865587369459,03-04-2014,89.1,1
1754247995051557656,02-12-2013,27.1,1
1373134964517802337,30-12-2014,8.0,1
1568886143108303769,11-03-2014,90.5,1
1827920147092312423,04-12-2014,0.0,0
2232471543220130929,23-09-2013,10.0,1
1742990518078869374,28-07-2013,107.2,2
1225915775030138514,18-06-2014,15.0,1
1200023098113681090,13-12-2013,21.3,1
2013429220586037843,14-04-2015,32.7,1
1887346503415728648,23-08-2015,17.0,1
2041806212418841999,06-09-2013,30.0,1
1562152302493816316,15-01-2014,20.0,1
1562641559449888732,23-12-2013,-15.0,-1
2177235196012615042,11-03-2015,42.0,1
2162523043713702241,08-02-2014,140.0,1
1345660496152113831,10-06-2015,5.0,1
2025616343983076785,16-09-2014,0.0,0
1983345665131473391,24-05-2014,51.7,2
1620508598919318332,05-08-2013,5.0,1
1847006099056213428,08-01-2015,-9.5,1
1673306193966240707,07-08-2013,0.0,0
1438711332905363373,10-05-2015,35.0,2
2274110308773162509,04-05-2014,8.0,1
1172227325711237757,01-12-2013,126.0,2
1569748974119992784,24-03-2015,7.4,1
1979219604365670013,03-12-2013,35.2,1
1196736324553741648,17-10-2013,5.9,1
1394672452376078933,17-04-2014,8.0,1
1650667703063807739,20-10-2013,7.0,1
1563552467193845952,16-07-2014,5.0,1
2050096756223926447,04-04-2015,29.3,2
1711527308774782967,09-05-2014,12.8,1
1498779891386723342,11-01-2015,21.4,1
1688812429929425609,08-04-2014,29.0,1
1191209058870327682,03-08-2015,77.1,1
1983345665131473391,05-06-2015,8.0,1
1498070245135151678,21-09-2014,0.0,0
1525561559439643794,17-08-2013,29.8,3
1350939382921499079,15-01-2014,40.0,1
2268755059588086452,10-07-2013,20.0,1
1780171968354942670,26-11-2013,776.0,1
1979219604365670013,23-03-2015,39.9,2
1427139557570209281,13-03-2014,116.6,1
1834522608886510863,12-10-2013,30.0,1
1208074393779894572,24-08-2013,15.8,1
1479792833194266296,12-04-2014,0.0,0
1791613062060443170,22-09-2015,-1.4,0
1170700858882369221,08-11-2014,-16.4,-1
2244444307653413439,04-12-2013,9.0,1
2201857522795691456,20-07-2013,74.0,1
1970409640852207882,25-12-2014,5.0,1
1155724568804904261,26-09-2014,2.0,2
1217818537227837471,30-09-2013,127.5,1
1923605531522947621,31-05-2014,68.1,1
1191514960706514078,03-04-2014,31.0,2
2279594023986188971,20-07-2013,180.0,1
1320802258167771571,18-12-2013,6.0,1
1310064632705473433,14-02-2015,175.0,1
1418200753860356437,05-09-2015,32.1,3
1504855252556946909,25-07-2013,19.0,1
1963492614130713340,02-02-2014,17.3,1
2019665199857769476,21-07-2013,9.5,1
1838886181813036722,16-01-2015,3.4,1
2013999510374472049,28-07-2013,23.0,1
2146942046399635832,05-06-2015,37.8,1
1517771536074122423,28-11-2013,21.5,2
2139609774925861444,03-09-2013,38.1,1
1432311992928870815,25-03-2015,-65.0,0
1872736182031624407,26-06-2015,0.0,0
1994624923897542028,20-03-2014,235.0,1
2049668454481788998,07-11-2014,40.0,1
1991042934041689485,12-08-2013,42.0,1
2244444307653413439,12-12-2013,21.8,1
1859629343186948149,17-08-2015,45.0,1
1705916834110458373,16-09-2015,2.0,1
2016415411623542865,02-09-2015,96.0,1
1261828691135588164,04-09-2015,11.7,1
1653719151022445159,10-08-2015,6.0,1
1177931541549787188,11-05-2014,174.2,1
2023493294828584422,30-10-2013,100.0,1
1757562111678573684,11-12-2013,95.0,2
2106731126181688226,21-07-2013,30.0,1
1545529020911848725,11-03-2015,128.9,2
1203886043863310509,23-08-2013,75.6,1
2137811882821897365,10-03-2014,77.4,2
1330049519186623865,02-08-2015,1100.0,3
1938257183739392047,25-01-2014,37.6,1
1454812893107024758,09-04-2014,150.0,1
1910113691944466945,01-09-2015,5.1,1
1711330093709358338,06-07-2013,15.5,1
1814313714040071273,21-09-2013,0.0,0
2276257112298726557,23-12-2013,64.9,1
1207895677477403879,18-07-2015,103.7,1
2211874085591252557,31-03-2015,59.4,1
1271556546731044092,05-01-2015,20.0,1
1228783414272844646,19-05-2014,38.8,2
1460433015439669550,21-09-2014,39.9,2
2294258814099447167,01-01-2015,100.0,1
1800553853556127850,03-04-2014,27.5,2
1358822980441568047,28-08-2013,20.0,1
1585834410480858207,21-05-2014,202.5,1
1840341231012311611,06-07-2013,63.9,2
1932727460388319004,05-07-2014,700.0,1
2013506804333776944,13-07-2013,34.5,1
1797867156022858700,07-11-2014,310.0,1
1477928060443391830,27-07-2013,0.0,0
2058474060696966301,23-10-2013,45.0,1
1560463656676998784,05-09-2013,15.9,1
2088768600809508460,08-07-2015,16.0,1
1740359854655318837,11-08-2014,12.3,1
1781057738532585036,13-01-2014,8.8,1
1191399963254319522,18-11-2014,26.6,1
1286864730672150239,06-12-2013,18.0,1
2079625551452570257,10-10-2014,24.0,1
2269478793551784759,28-01-2015,100.0,1
1796646011248393486,13-03-2015,16.8,1
1704021052923023135,15-03-2015,19.7,1
1917348277243270068,17-05-2015,5.3,1
1548007045003663911,28-08-2013,30.5,1
1244281662992516013,28-08-2013,-15.8,-1
