rcvr_id,rcvr_cntry_code,starts,dones,rcvr_acct_type,rcvr_acct_cre_dt,is_large_enterprise_y_n,large_merch_y_n,rcvr_tof,busn_name,rcvr_segment,rcvr_industry,rcvr_region,cust_acq_chnl_desc,num_txns,tpv,merch_tpv_tier,coverage,conversion
1238305906153947391 ,GB ,26,23,Consumer,2/10/2010,N,N,3Y+,#,03 CS,fashion,EMEA  ,Organic,24,732.79,<10K,0.96,0.88
1606326740119633523 ,US ,7,6,Consumer,6/15/2005,N,N,3Y+,#,03 CS,auto-parts,NA    ,Organic,12,"1,647.87",<10K,0.5,0.86
2234868764941932061 ,DE ,1,1,Consumer,7/7/2014,N,N,1Y-3Y,#,03 CS,?,EMEA  ,Natural Search,1,30.77,<10K,1,1
2026081640700874957 ,US ,12,1,Business,6/3/2014,N,N,1Y-3Y,Hair Snobz,03 CS,?,NA    ,Natural Search,1,5,<10K,1,0.08
1443020845927720786 ,US ,28,11,Business,12/14/2001,N,N,3Y+,"Treats Unleashed, Inc.",03 CS,?,NA    ,Organic,12,"1,200.00",<10K,0.92,0.39
1999407243596498007 ,US ,5,5,Business,4/14/2002,N,N,3Y+,Cobra_Dentist,03 CS,office-supplies,NA    ,Organic,5,409.55,<10K,1,1
1862084452766979337 ,US ,1,1,Consumer,2/26/2007,N,N,3Y+,#,03 CS,?,NA    ,Paid IM,1,"1,024.12",<10K,1,1
1609886956451927233 ,AU ,14,13,Consumer,12/3/2005,N,N,3Y+,#,03 CS,music-videos,APAC  ,Organic,20,882.75,<10K,0.65,0.93
1743782803328024630 ,US ,1,1,Consumer,2/18/2008,N,N,3Y+,#,03 CS,?,NA    ,Organic,1,39.99,<10K,1,1
2138996189792639996 ,DE ,8,4,Consumer,3/9/2009,N,N,3Y+,#,03 CS,jewelry,EMEA  ,Organic,16,624.6,<10K,0.25,0.5
1650262559062044151 ,US ,1,1,Consumer,6/8/2005,N,N,3Y+,#,03 CS,cellphones,NA    ,Organic,1,636,<10K,1,1
1763643345656174737 ,DE ,1,0,Consumer,9/15/2010,N,N,3Y+,#,03 CS,auto-parts,EMEA  ,Organic,6,627.56,<10K,0,0
1790077885530839717 ,US ,69,62,Consumer,3/16/2000,N,N,3Y+,#,03 CS,memorabilia,NA    ,Organic,94,"3,179.74",<10K,0.66,0.9
1428696296138356487 ,US ,5,4,Consumer,7/27/2014,N,N,1Y-3Y,#,03 CS,music-instruments,NA    ,Natural Search,5,"7,111.00",<10K,0.8,0.8
2036083683165302851 ,US ,5,5,Consumer,1/16/2014,N,N,1Y-3Y,#,03 CS,toys,NA    ,Organic,5,375,<10K,1,1
1276916574598758753 ,GB ,1,1,Consumer,10/28/2007,N,N,3Y+,#,03 CS,pet-supplies,EMEA  ,Paid IM,1,68.28,<10K,1,1
1937431659589472455 ,US ,1,0,Business,11/1/2009,N,N,3Y+,Recess & Results,03 CS,?,NA    ,Organic,39,529,<10K,0,0
1817960984654232230 ,IT ,1,1,Consumer,4/27/2005,N,N,3Y+,#,03 CS,?,CEMEA ,Organic,1,13.51,<10K,1,1
2055869703402797052 ,SE ,7,2,Business,6/25/2014,N,N,1Y-3Y,ISKCON KORSNÄS GÅRD,03 CS,non-profit,CEMEA ,Organic,10,"1,296.14",<10K,0.2,0.29
2043583456307978182 ,US ,263,46,Business,9/10/2012,N,N,1Y-3Y,Swing Pictures,03 CS,music-videos,NA    ,Natural Search,75,"8,175.00",<10K,0.61,0.17
1251135336248483992 ,US ,2,2,Consumer,3/18/2009,N,N,3Y+,#,03 CS,?,NA    ,Organic,4,"1,068.65",<10K,0.5,1
1767869232822105430 ,US ,2,1,Consumer,7/21/2014,N,N,1Y-3Y,#,?,?,NA    ,Organic,?,?,Unknown,?,0.5
1752501442036413879 ,US ,22,21,Consumer,3/14/2000,N,N,3Y+,#,03 CS,health,NA    ,Organic,22,701.38,<10K,0.95,0.95
