rcvr_id,txn_mth,mkt_place_attempt_y_n,browser_code,chkout_integrtn_type,mobile_os,mobile_devc_type,PRODUCT,rcvr_cntry_code,IB_XB_flag,Member_Guest,Web_Mobile,Product_Exp,prod_exp_wps,Fallout_rsn_desc,Fallout_Desc,Review_Desc,last_lndg_pg_dervd_flow_type,STARTS,DONES
1756697708595074779 ,2015/02,Y,634,M,#,#,Express Checkout,GB ,IB,Member,Web Checkout,Unified Experience,Transaction,0.0.0.Success,0.0.Success,After Review,Member-Login,1,1
1469565957100985964 ,2014/11,Y,299,M,#,#,Express Checkout,PT ,XB,Member,Web Checkout,Unified Experience,Transaction,0.0.0.Success,0.0.Success,After Review,Member-Login,1,1
1408802344618552906 ,2014/12,Y,642,M,Android,#,Express Checkout,HK ,XB,Member,Mobile Checkout,MEC2,Transaction,0.0.0.Success,0.0.Success,After Review,Member-Login,1,1
2168752668455288357 ,2015/01,Y,497,M,#,#,Express Checkout,US ,XB,Member,Web Checkout,Unified Experience,Transaction,1.8.5.PageType=Login:PageSpeed=NotSlow,1.8.Drop Off,Before Review,Member-Login,1,0
1726000802261202847 ,2015/04,N,-99,M,#,#,Express Checkout,US ,IB,Unknown/Other,Web Checkout,Full Page,Pure Hermes,0.0.0.Success,0.0.Success,After Review,Unknown,4,4
1794658741955835027 ,2014/07,Y,497,M,#,#,Express Checkout,DE ,IB,Member,Web Checkout,Unified Experience,Transaction,0.0.0.Success,0.0.Success,After Review,Member-Login,1,1
2083012483246286691 ,2015/06,N,639,M,#,#,Express Checkout,US ,IB,Member,Web Checkout,Unified Experience,Transaction,0.0.0.Success,0.0.Success,After Review,Member-Login,1,1
1209891903474984140 ,2015/03,Y,638,M,#,#,Express Checkout,PL ,XB,Member,Web Checkout,Unified Experience,Transaction,0.0.0.Success,0.0.Success,After Review,Member-Login,1,1
1334591478095912583 ,2015/06,N,632,S,#,#,Express Checkout,US ,IB,Member,Web Checkout,Unified Experience,Transaction,0.0.0.Success,0.0.Success,After Review,Member-Login,1,1
2184064176619995376 ,2014/12,Y,299,M,#,#,Express Checkout,AU ,IB,Member,Web Checkout,Unified Experience,Transaction,0.0.0.Success,0.0.Success,After Review,Member-Login,295,295
1706534730700050486 ,2014/11,N,625,S,iOS,SmartPhone,Express Checkout,US ,XB,Member,Mobile Checkout,MobileEC,Transaction,0.0.0.Success,0.0.Success,After Review,Member-Login,1,1
1652263835568270143 ,2015/05,N,640,#,iOS,SmartPhone,Website Payment Standard,JP ,XB,Guest,Mobile Checkout,mWPS,Button,1.8.4.PageType=Billing:PageSpeed=NotSlow,1.8.Drop Off,Before Review,Guest-Billing,1,0
1569046517714446514 ,2015/02,N,638,S,#,#,Express Checkout,US ,IB,Member,Web Checkout,Full Page,Pure Aries,0.0.0.Success,0.0.Success,After Review,Member-Login,1,1
1311517748632362675 ,2014/07,N,641,#,#,#,Website Payment Standard,US ,IB,Member,Web Checkout,Unified Experience,Button,2.7.1.Flow Deviation,2.7.Flow Deviation,After Review,Member-Login,1,0
2249020490956895922 ,2015/05,Y,638,M,iOS,Tablet,Express Checkout,JP ,XB,Guest,Mobile Checkout,MEC2,Transaction,1.8.4.PageType=Billing:PageSpeed=NotSlow,1.8.Drop Off,Before Review,Guest-Billing,1,0
1681615807516118774 ,2015/05,Y,638,M,Android,#,Express Checkout,HK ,XB,Member,Mobile Checkout,MEC2,Transaction,1.6.2.Processor,1.6.Auth Decline,Before Review,Member-Login,6,0
1527788949499057084 ,2014/11,N,-99,S,Android,#,Express Checkout,AU ,IB,Unknown/Other,Mobile Checkout,MobileEC,Transaction,0.0.0.Success,0.0.Success,After Review,Unknown,1,1
1326813495543762924 ,2015/02,N,626,#,#,#,Email Payments,VN ,XB,Member,Email Payments,Internal,Send Money,0.0.0.Success,0.0.Success,After Review,Member-Login,1,1
2157168379206243489 ,2014/10,Y,639,M,iOS,Tablet,Express Checkout,GB ,IB,Member,Mobile Checkout,MobileEC,Transaction,0.0.0.Success,0.0.Success,After Review,Member-Login,1,1
1639354862877092149 ,2014/07,N,622,#,iOS,Tablet,Website Payment Standard,IT ,XB,Member,Mobile Checkout,mWPS,Button,0.0.0.Success,0.0.Success,After Review,Member-Login,1,1
2251030743624593791 ,2014/10,Y,623,M,iOS,Tablet,Express Checkout,GB ,IB,Member,Mobile Checkout,MEC2,Transaction,0.0.0.Success,0.0.Success,After Review,Member-Login,2,2
1415195018327299394 ,2014/09,Y,631,M,iOS,SmartPhone,Express Checkout,GB ,IB,Member,Mobile Checkout,MEC2,Transaction,0.0.0.Success,0.0.Success,After Review,Member-Login,1,1
1932010741538152013 ,2015/06,Y,-99,M,iOS,SmartPhone,Express Checkout,US ,XB,Unknown/Other,Mobile Checkout,MEC2,Transaction,1.8.1.Unknown,1.8.Drop Off,Before Review,Unknown,2,0
1872170739280203511 ,2014/08,N,655,M,#,#,Express Checkout,IE ,XB,Guest,Web Checkout,Unified Experience,Transaction,0.0.0.Success,0.0.Success,After Review,Guest-FGA,2,2
